WL/nm	s/(mA/W)	QE/%	U_rel/%.k=2 		  VDM(#463)center. U=72V
38	3.875	12.64	4.6		
40	4.136	12.82	4.3		
42	4.349	12.84	4.3		
44	4.542	12.80	4.3		
46	4.823	13.00	4.3		
48	5.082	13.13	4.3		
50	5.299	13.14	4.5		
52	5.860	13.97	4.5		
54	5.867	13.47	4.4		
56	6.663	14.75	4.4		
58	7.040	15.05	4.4		
60	7.256	15.00	4.4		
62	8.005	16.01	6.0		
64	8.481	16.43	6.0		
66	8.567	16.09	6.0		
68	9.089	16.57	6.1		
70	9.389	16.63	7.6		
72	9.082	15.64	7.6		
74	9.019	15.11	7.6		
76	9.035	14.74	7.6		
78	8.510	13.53	7.6		
80	8.189	12.69	7.6		
82	7.774	11.75	7.6		
84	7.430	10.97	7.6		
86	7.187	10.36	7.6		
88	6.947	9.79	7.6		
90	6.701	9.23	7.6		
92	6.436	8.67	7.6		
94	6.113	8.06	7.6		
96	5.759	7.44	7.7		
98	5.363	6.79	7.7		
100	4.899	6.07	7.7		
102	4.444	5.40	7.8		
104	3.960	4.72	7.8		
106	3.483	4.07	7.8		
108	3.028	3.48	8.0		
110	2.606	2.94	8.1		
112.5	2.143	2.36	8.0		
115	1.752	1.89	7.9		
117.5	1.408	1.49	9.4		
120	1.125	1.16	10.7		
121.6	0.989	1.01	10.7		
125	0.749	0.74	10.7		
130	0.487	0.47	10.6		
135	0.305	0.28	10.6		
140	0.186	0.165	10.7		
145	0.114	0.098	10.7		
150	0.074	0.060	10.7		
155	0.052	0.041	10.7		
160	0.039	0.031	10.8		
165	0.033	0.025	10.9		
170	0.029	0.021	11.0		
175	0.025	0.018	11.1		
180	0.022	0.015	11.3		
185	0.018	0.012	11.7		
190	0.014	0.010	12.5		
193	0.013	0.008	13.2		
195	0.011	0.007	13.9		
200	0.009	0.005	15.9		
205	0.006	0.004	19.5		
210	0.005	0.003	25.5		
215	0.003	0.002	34.4		
220	0.002	0.001	47.2		
225	0.002	0.001	68.1		
